UPID,Flipkart_URL
16339433,https://www.flipkart.com/amrutam-fab-embellished-bollywood-poly-georgette-saree/p/itm7f9ac701f7348
14431425,https://www.flipkart.com/hangup-men-kurta-pyjama-set/p/itmezrg4y8ydw5vg
15121406,https://www.flipkart.com/ak-fashion-women-maxi-dark-blue-dress/p/itme721253d7041a
17127026,https://www.flipkart.com/tissu-women-kurta-palazzo-set/p/itm4404aebcd1bca
16089801,https://www.flipkart.com/hangup-sleeveless-solid-men-nehru-jacket/p/itmffdcy3xharhak
17120267,https://www.flipkart.com/janasya-women-printed-a-line-kurta/p/itm5db6e5d59160c
17608666,https://www.flipkart.com/ishin-women-kurta-palazzo-set/p/itm7e560c1ac112d
16567866,"https://www.flipkart.com/gespo-solid-men-henley-neck-light-green-t-shirt/p/itme2499c21bbe55?pid=TSHFP6YNBXRYXJVJ&lid=LSTTSHFP6YNBXRYXJVJEUNMOR&marketplace=FLIPKART&cmpid=content_t-shirt_12477118216_u_8965229628_gmc_pla&tgi=sem,1,G,11214002,u,,,502923855084,,,,c,,,,,,,&ef_id=Cj0KCQjwktKFBhCkARIsAJeDT0hJd7ean0dD0nYif1uBMlDVlh0en7dG1dhlqEKwApMOADzw9uM_Rn0aAjBvEALw_wcB:G:s&s_kwcid=AL!739!3!502923855084!!!u!302763144225!&gclid=Cj0KCQjwktKFBhCkARIsAJeDT0hJd7ean0dD0nYif1uBMlDVlh0en7dG1dhlqEKwApMOADzw9uM_Rn0aAjBvEALw_wcB"
17084553,https://www.flipkart.com/campus-sutra-slim-men-dark-blue-jeans/p/itmdbdb6bdd04b5b?pid=JEAFRUQFPPTH9PFG&lid=LSTJEAFRUQFPPTH9PFG6CP5PE&marketplace=FLIPKART&sattr[]=color&sattr[]=size&st=size
17633668,"https://www.flipkart.com/juniper-women-kurta-palazzo-set/p/itmb588e40a4dcc3?pid=ETHGFJGH4TTVQ5GT&lid=LSTETHGFJGH4TTVQ5GTJT8MRJ&marketplace=FLIPKART&cmpid=content_ethnic-set_12477118216_u_8965229628_gmc_pla&tgi=sem,1,G,11214002,u,,,502923855084,,,,c,,,,,,,&ef_id=Cj0KCQjwktKFBhCkARIsAJeDT0jOjV4XGFIlwYU-RRRbj7Dm5Um4RA5Dws5PhL8aW3moZQyLREPehUAaAivxEALw_wcB:G:s&s_kwcid=AL!739!3!502923855084!!!u!302763144225!&gclid=Cj0KCQjwktKFBhCkARIsAJeDT0jOjV4XGFIlwYU-RRRbj7Dm5Um4RA5Dws5PhL8aW3moZQyLREPehUAaAivxEALw_wcB"
16729992,https://www.flipkart.com/gentino-solid-men-polo-neck-orange-t-shirt/p/itm41ace885747f5
17417562,https://www.flipkart.com/urbano-fashion-slim-men-brown-jeans/p/itm5cc79ccffb768
17063743,https://www.flipkart.com/hangup-men-kurta-dhoti-pant-set/p/itmcf3b66443a7c7
16909870,https://www.flipkart.com/bhama-couture-women-kurta-palazzo-set/p/itm801329a7ed805
17558236,https://www.flipkart.com/duke-men-brown-sandals/p/itma62c0acad4398?pid=SNDFVNF9GVKFWVY5&lid=LSTSNDFVNF9GVKFWVY50TBZKG&marketplace=FLIPKART&store=osp&srno=b_1_34&otracker=browse&fm=organic&iid=ba2e7847-8fcb-46f8-abab-6bb41f546f47.SNDFVNF9GVKFWVY5.SEARCH&ppt=browse&ppn=browse&ssid=psepk24xv40000001622530144230
17418342,https://www.flipkart.com/divena-women-printed-straight-kurta/p/itm8929baafae09f?pid=KTAFZYQTHPHFPDNQ&lid=LSTKTAFZYQTHPHFPDNQRNZMLT&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib&srno=b_2_71&otracker=browse&fm=organic&iid=a971f56f-fd63-4889-876d-728d80169fd9.KTAFZYQTHPHFPDNQ.SEARCH&ppt=browse&ppn=browse&ssid=8uveimqh400000001622530070122
17420702,https://www.flipkart.com/divena-women-printed-anarkali-kurta/p/itm82e6a911cd1a2?pid=KTAFVNMKZU32Z6RM&lid=LSTKTAFVNMKZU32Z6RMMAICBL&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_6&otracker=browse&fm=organic&iid=d44768ce-d9d2-45d4-895d-268d8e807f1a.KTAFVNMKZU32Z6RM.SEARCH&ppt=browse&ppn=browse&ssid=tk81sgto000000001622528046076
16056976,https://www.flipkart.com/fashion-basket-anarkali-gown/p/itmcb4e89cdb5f39
